,Random,,Greedy,,,Branch & Bound,,,Fancy,,
# Cities,Time (sec),Path Length,Time (sec),Path Length,% of Random,Time (sec),Path Length,% of Greedy,Time (sec),Path Length,% of Greedy
4,0.0,4725,0.0,5114,1.08,0.0,4725,0.92,10.0,4725,0.92
5,0.0,5886,0.0,6763,1.15,0.0,5428,0.8,10.0,5428,0.8
6,0.0,9600,0.0,7423,0.77,0.01,6306,0.85,10.0,6306,0.85
8,0.0,8802,0.0,8937,1.02,0.02,6596,0.74,10.01,6661,0.75
15,0.0,18162,0.0,14308,0.79,1.57,9466,0.66,10.02,9966,0.7
16,0.0,20824,0.0,12094,0.58,8.93,9528,0.79,10.02,9608,0.79
21,0.0,27060,0.0,15152,0.56,10.01,11101,0.73,10.03,11138,0.74
23,0.0,29404,0.0,16076,0.55,10.01,11384,0.71,10.02,10788,0.67
26,0.0,30951,0.01,14082,0.45,10.01,11778,0.84,10.04,11839,0.84
30,0.03,46010,0.0,19179,0.42,10.0,14914,0.78,10.02,14152,0.74
47,2.57,63833,0.0,24828,0.39,10.01,18336,0.74,10.03,17696,0.71
48,3.48,72056,0.0,26605,0.37,10.0,20527,0.77,10.02,21019,0.79
50,2.23,69586,0.01,24429,0.35,10.0,19788,0.81,10.05,19983,0.82
56,4.49,76076,0.0,27652,0.36,10.0,23019,0.83,10.03,23150,0.84
60,TB,TB,0.0,28655,NA,10.01,23092,0.81,10.03,23771,0.83
68,1.06,94360,0.01,28395,0.3,10.01,25395,0.89,10.06,25207,0.89
69,TB,TB,0.0,30330,NA,10.01,24284,0.8,10.03,25493,0.84
80,TB,TB,0.01,33811,NA,10.01,29868,0.88,10.03,30022,0.89
99,TB,TB,0.01,38554,NA,10.0,31074,0.81,10.06,35872,0.93
100,TB,TB,0.01,39182,NA,10.01,32503,0.83,10.08,37128,0.95
121,TB,TB,0.01,43616,NA,10.01,39440,0.9,10.06,42820,0.98
131,TB,TB,0.01,48112,NA,10.01,48112,1.0,10.14,46388,0.96
160,TB,TB,0.02,52816,NA,10.04,52816,1.0,10.11,52258,0.99
184,TB,TB,0.02,54468,NA,10.1,54468,1.0,10.27,54468,1.0
200,TB,TB,0.04,60135,NA,10.22,60135,1.0,10.05,59870,1.0
