,Random,,Greedy,,,Branch & Bound,,,Fancy,,
# Cities,Time (sec),Path Length,Time (sec),Path Length,% of Random,Time (sec),Path Length,% of Greedy,Time (sec),Path Length,% of Greedy
30,0.04,37303,0.0,18005,0.48,600.0,13063,0.73,291.2,12632,0.7
35,0.14,44131,0.0,19258,0.44,600.0,15676,0.81,301.38,14847,0.77
43,1.64,51050,0.01,21878,0.43,600.0,18189,0.83,449.71,16664,0.76
53,8.7,70828,0.01,26020,0.37,600.0,20884,0.8,600.05,18746,0.72
54,23.23,73954,0.0,27199,0.37,600.0,23018,0.85,600.05,19850,0.73
60,67.81,76344,0.0,27689,0.36,600.0,23365,0.84,535.8,20979,0.76
62,292.16,81308,0.01,27890,0.34,600.0,23568,0.85,600.06,21548,0.77
80,225.99,114203,0.01,34080,0.3,600.01,29512,0.87,600.13,27098,0.8
92,TB,TB,0.02,35628,NA,600.01,30491,0.86,600.19,28239,0.79
99,TB,TB,0.03,39839,NA,600.01,32532,0.82,600.08,29353,0.74
100,TB,TB,0.01,37903,NA,600.01,33491,0.88,600.11,30426,0.8
103,TB,TB,0.01,38287,NA,600.01,33137,0.87,600.18,30939,0.81
116,TB,TB,0.02,42554,NA,600.01,36466,0.86,600.2,33391,0.78
177,TB,TB,0.04,53667,NA,600.03,47253,0.88,600.48,45640,0.85
189,TB,TB,0.06,56303,NA,600.03,51132,0.91,600.5,48098,0.85
200,TB,TB,0.09,58379,NA,600.02,50866,0.87,600.5,50581,0.87
